07:18:20.466565 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 2434048873, win 65535, length 0
07:18:20.471641 IP 178.32.215.69.6667 > 196.0.3.169.1673: Flags [R], seq 2596055933, win 0, length 0
07:18:20.471654 IP 60.28.26.108.1674 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471663 IP 178.32.215.69.6667 > 60.28.26.108.1674: Flags [R], seq 1681159209, win 0, length 0
07:18:20.471677 IP 61.156.8.67.1251 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471684 IP 178.32.215.69.6667 > 61.156.8.67.1251: Flags [R], seq 2629240630, win 0, length 0
07:18:20.471698 IP 61.130.156.250.1317 > 178.32.215.69.37665: Flags [.], ack 162608397, win 65535, length 0
07:18:20.471703 IP 213.248.46.28.1141 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471708 IP 178.32.215.69.6667 > 213.248.46.28.1141: Flags [R], seq 3509716502, win 0, length 0
07:18:20.471730 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471737 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.471769 IP 103.17.9.215.1577 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471777 IP 178.32.215.69.6667 > 103.17.9.215.1577: Flags [R], seq 1072317021, win 0, length 0
07:18:20.471793 IP 37.235.58.163.1665 > 178.32.215.69.6667: Flags [.], ack 3382667820, win 65535, length 0
07:18:20.471800 IP 178.32.215.69.6667 > 37.235.58.163.1665: Flags [R], seq 3382667820, win 0, length 0
07:18:20.471815 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471822 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.471837 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471844 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.471858 IP 132.160.21.137.1288 > 178.32.215.69.20: Flags [.], ack 2326601067, win 65535, length 0
07:18:20.471863 IP 81.91.225.134.1642 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471868 IP 178.32.215.69.6667 > 81.91.225.134.1642: Flags [R], seq 169358418, win 0, length 0
07:18:20.471882 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471890 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.471904 IP 218.6.12.159.1804 > 178.32.215.69.29569: Flags [.], ack 2429933576, win 65535, length 0
07:18:20.471909 IP 200.52.205.60.1853 > 178.32.215.69.32339: Flags [.], ack 1005817954, win 65535, length 0
07:18:20.471911 IP 211.115.111.16.1107 > 178.32.215.69.42599: Flags [.], ack 3865999897, win 65535, length 0
07:18:20.471913 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471919 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.471934 IP 179.106.152.12.1044 > 178.32.215.69.6667: Flags [.], ack 3415335731, win 65535, length 0
07:18:20.471941 IP 178.32.215.69.6667 > 179.106.152.12.1044: Flags [R], seq 3415335731, win 0, length 0
07:18:20.471956 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471963 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.471977 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.471984 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.471999 IP 60.28.1.4.46091 > 178.32.215.69.6667: Flags [.], ack 3700180256, win 65535, length 0
07:18:20.472006 IP 178.32.215.69.6667 > 60.28.1.4.46091: Flags [R], seq 3700180256, win 0, length 0
07:18:20.472031 IP 95.66.187.165.1590 > 178.32.215.69.29711: Flags [.], ack 3055723390, win 65535, length 0
07:18:20.472037 IP 210.51.167.31.1144 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472044 IP 178.32.215.69.6667 > 210.51.167.31.1144: Flags [R], seq 4192055614, win 0, length 0
07:18:20.472069 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472077 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.472092 IP 64.5.41.86.1438 > 178.32.215.69.6667: Flags [.], ack 542864147, win 65535, length 0
07:18:20.472100 IP 178.32.215.69.6667 > 64.5.41.86.1438: Flags [R], seq 542864147, win 0, length 0
07:18:20.472114 IP 207.44.178.56.1105 > 178.32.215.69.6667: Flags [.], ack 1858671664, win 65535, length 0
07:18:20.472122 IP 178.32.215.69.6667 > 207.44.178.56.1105: Flags [R], seq 1858671664, win 0, length 0
07:18:20.472136 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472143 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.472158 IP 81.196.156.217.2000 > 178.32.215.69.13043: Flags [.], ack 2109042259, win 65535, length 0
07:18:20.472162 IP 178.63.54.14.1619 > 178.32.215.69.30: Flags [.], ack 264004932, win 65535, length 0
07:18:20.472165 IP 202.157.73.216.1197 > 178.32.215.69.6667: Flags [.], ack 623990092, win 65535, length 0
07:18:20.472170 IP 178.32.215.69.6667 > 202.157.73.216.1197: Flags [R], seq 623990092, win 0, length 0
07:18:20.472185 IP 128.123.211.155.1463 > 178.32.215.69.20955: Flags [.], ack 2450919705, win 65535, length 0
07:18:20.472190 IP 202.53.64.123.1369 > 178.32.215.69.96: Flags [.], ack 827351882, win 65535, length 0
07:18:20.472192 IP 81.91.225.134.1642 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472197 IP 178.32.215.69.6667 > 81.91.225.134.1642: Flags [R], seq 169358418, win 0, length 0
07:18:20.472212 IP 81.91.225.134.1642 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472219 IP 178.32.215.69.6667 > 81.91.225.134.1642: Flags [R], seq 169358418, win 0, length 0
07:18:20.472233 IP 209.73.140.162.1626 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472241 IP 178.32.215.69.6667 > 209.73.140.162.1626: Flags [R], seq 1352366428, win 0, length 0
07:18:20.472255 IP 61.143.178.244.1764 > 178.32.215.69.48641: Flags [.], ack 302901303, win 65535, length 0
07:18:20.472260 IP 121.12.170.114.1520 > 178.32.215.69.6667: Flags [.], ack 1123935271, win 65535, length 0
07:18:20.472265 IP 178.32.215.69.6667 > 121.12.170.114.1520: Flags [R], seq 1123935271, win 0, length 0
07:18:20.472306 IP 121.12.170.114.1520 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472314 IP 178.32.215.69.6667 > 121.12.170.114.1520: Flags [R], seq 1123935271, win 0, length 0
07:18:20.472334 IP 27.112.8.246.1721 > 178.32.215.69.134: Flags [.], ack 2156426336, win 65535, length 0
07:18:20.472341 IP 64.233.128.98.1265 > 178.32.215.69.20065: Flags [.], ack 3361262596, win 65535, length 0
07:18:20.472346 IP 41.139.152.140.1018 > 178.32.215.69.6667: Flags [.], ack 3141066587, win 65535, length 0
07:18:20.472355 IP 178.32.215.69.6667 > 41.139.152.140.1018: Flags [R], seq 3141066587, win 0, length 0
07:18:20.472377 IP 95.211.117.112.1659 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472385 IP 178.32.215.69.6667 > 95.211.117.112.1659: Flags [R], seq 2697056376, win 0, length 0
07:18:20.472402 IP 217.144.201.160.1662 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472409 IP 178.32.215.69.6667 > 217.144.201.160.1662: Flags [R], seq 2357414169, win 0, length 0
07:18:20.472424 IP 95.173.188.112.1772 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472432 IP 178.32.215.69.6667 > 95.173.188.112.1772: Flags [R], seq 3575486842, win 0, length 0
07:18:20.472447 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472454 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.472468 IP 85.115.96.51.1692 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472475 IP 178.32.215.69.6667 > 85.115.96.51.1692: Flags [R], seq 2911411801, win 0, length 0
07:18:20.472489 IP 183.136.162.29.1113 > 178.32.215.69.6667: Flags [.], ack 1881022725, win 65535, length 0
07:18:20.472496 IP 178.32.215.69.6667 > 183.136.162.29.1113: Flags [R], seq 1881022725, win 0, length 0
07:18:20.472510 IP 183.136.162.29.1113 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472517 IP 178.32.215.69.6667 > 183.136.162.29.1113: Flags [R], seq 1881022725, win 0, length 0
07:18:20.472532 IP 217.151.107.172.1799 > 178.32.215.69.17295: Flags [.], ack 1483609361, win 65535, length 0
07:18:20.472536 IP 61.152.94.227.1736 > 178.32.215.69.6667: Flags [.], ack 2627911215, win 65535, length 0
07:18:20.472541 IP 178.32.215.69.6667 > 61.152.94.227.1736: Flags [R], seq 2627911215, win 0, length 0
07:18:20.472556 IP 203.246.164.173.1103 > 178.32.215.69.31947: Flags [.], ack 3986427980, win 65535, length 0
07:18:20.472561 IP 179.106.152.12.1044 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472566 IP 178.32.215.69.6667 > 179.106.152.12.1044: Flags [R], seq 3415335731, win 0, length 0
07:18:20.472582 IP 61.130.156.250.1317 > 178.32.215.69.38129: Flags [.], ack 162608397, win 65535, length 0
07:18:20.472595 IP 211.143.131.7.1714 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472602 IP 178.32.215.69.6667 > 211.143.131.7.1714: Flags [R], seq 340300297, win 0, length 0
07:18:20.472634 IP 218.93.127.22.1989 > 178.32.215.69.6667: Flags [.], ack 2512424457, win 65535, length 0
07:18:20.472642 IP 178.32.215.69.6667 > 218.93.127.22.1989: Flags [R], seq 2512424457, win 0, length 0
07:18:20.472657 IP 193.232.173.115.1337 > 178.32.215.69.78: Flags [.], ack 1511775788, win 65535, length 0
07:18:20.472662 IP 115.182.62.117.1650 > 178.32.215.69.62157: Flags [.], ack 1722208560, win 65535, length 0
07:18:20.472665 IP 202.169.46.205.1814 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472670 IP 178.32.215.69.6667 > 202.169.46.205.1814: Flags [R], seq 3779812177, win 0, length 0
07:18:20.472684 IP 193.232.173.115.1337 > 178.32.215.69.76: Flags [.], ack 1511775788, win 65535, length 0
07:18:20.472689 IP 64.5.41.86.1438 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472694 IP 178.32.215.69.6667 > 64.5.41.86.1438: Flags [R], seq 542864147, win 0, length 0
07:18:20.472712 IP 41.0.44.219.1990 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472720 IP 178.32.215.69.6667 > 41.0.44.219.1990: Flags [R], seq 2420736113, win 0, length 0
07:18:20.472737 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472744 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.472759 IP 95.156.194.169.1573 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472770 IP 178.32.215.69.6667 > 95.156.194.169.1573: Flags [R], seq 868322661, win 0, length 0
07:18:20.472785 IP 74.126.17.86.1578 > 178.32.215.69.122: Flags [.], ack 3157162563, win 65535, length 0
07:18:20.472790 IP 193.232.173.115.1337 > 178.32.215.69.80: Flags [.], ack 1511775788, win 65535, length 0
07:18:20.472793 IP 60.191.145.168.1161 > 178.32.215.69.6: Flags [.], ack 525497949, win 65535, length 0
07:18:20.472797 IP 203.34.37.119.1180 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472803 IP 178.32.215.69.6667 > 203.34.37.119.1180: Flags [R], seq 1714376731, win 0, length 0
07:18:20.472819 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472827 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.472841 IP 85.120.23.162.1926 > 178.32.215.69.6667: Flags [.], ack 100301668, win 65535, length 0
07:18:20.472848 IP 178.32.215.69.6667 > 85.120.23.162.1926: Flags [R], seq 100301668, win 0, length 0
07:18:20.472869 IP 140.121.160.122.1684 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472877 IP 178.32.215.69.6667 > 140.121.160.122.1684: Flags [R], seq 81934859, win 0, length 0
07:18:20.472905 IP 89.147.255.105.1325 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472913 IP 178.32.215.69.6667 > 89.147.255.105.1325: Flags [R], seq 447859286, win 0, length 0
07:18:20.472928 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472935 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.472950 IP 95.156.194.169.1573 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472957 IP 178.32.215.69.6667 > 95.156.194.169.1573: Flags [R], seq 868322661, win 0, length 0
07:18:20.472971 IP 221.238.29.57.1223 > 178.32.215.69.78: Flags [.], ack 651339120, win 65535, length 0
07:18:20.472976 IP 203.160.57.118.1569 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.472981 IP 178.32.215.69.6667 > 203.160.57.118.1569: Flags [R], seq 2191028824, win 0, length 0
07:18:20.472995 IP 61.158.203.14.1583 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473002 IP 178.32.215.69.6667 > 61.158.203.14.1583: Flags [R], seq 1498594371, win 0, length 0
07:18:20.473018 IP 61.158.203.14.1583 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473027 IP 178.32.215.69.6667 > 61.158.203.14.1583: Flags [R], seq 1498594371, win 0, length 0
07:18:20.473043 IP 181.143.234.161.1731 > 178.32.215.69.50: Flags [.], ack 2114772792, win 65535, length 0
07:18:20.473048 IP 213.152.192.96.1304 > 178.32.215.69.6667: Flags [.], ack 864704531, win 65535, length 0
07:18:20.473053 IP 178.32.215.69.6667 > 213.152.192.96.1304: Flags [R], seq 864704531, win 0, length 0
07:18:20.473068 IP 202.53.64.123.1369 > 178.32.215.69.6: Flags [.], ack 827351882, win 65535, length 0
07:18:20.473073 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473078 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.473092 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473099 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.473114 IP 95.159.65.11.2016 > 178.32.215.69.6667: Flags [.], ack 2553631015, win 65535, length 0
07:18:20.473121 IP 178.32.215.69.6667 > 95.159.65.11.2016: Flags [R], seq 2553631015, win 0, length 0
07:18:20.473135 IP 80.252.104.30.1322 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473142 IP 178.32.215.69.6667 > 80.252.104.30.1322: Flags [R], seq 1170383433, win 0, length 0
07:18:20.473156 IP 212.52.166.157.1349 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473163 IP 178.32.215.69.6667 > 212.52.166.157.1349: Flags [R], seq 1723116814, win 0, length 0
07:18:20.473185 IP 72.166.145.250.1834 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473193 IP 178.32.215.69.6667 > 72.166.145.250.1834: Flags [R], seq 1684329517, win 0, length 0
07:18:20.473209 IP 216.250.255.1.1807 > 178.32.215.69.6667: Flags [.], ack 3388661528, win 65535, length 0
07:18:20.473217 IP 178.32.215.69.6667 > 216.250.255.1.1807: Flags [R], seq 3388661528, win 0, length 0
07:18:20.473247 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473254 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.473270 IP 95.173.188.112.1772 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473277 IP 178.32.215.69.6667 > 95.173.188.112.1772: Flags [R], seq 3575486842, win 0, length 0
07:18:20.473291 IP 61.130.156.250.1317 > 178.32.215.69.37537: Flags [.], ack 162608397, win 65535, length 0
07:18:20.473296 IP 75.125.159.16.1484 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473301 IP 178.32.215.69.6667 > 75.125.159.16.1484: Flags [R], seq 3451096335, win 0, length 0
07:18:20.473316 IP 179.106.152.12.1044 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473323 IP 178.32.215.69.6667 > 179.106.152.12.1044: Flags [R], seq 3415335731, win 0, length 0
07:18:20.473341 IP 217.113.205.58.1895 > 178.32.215.69.6667: Flags [.], ack 789774894, win 65535, length 0
07:18:20.473353 IP 178.32.215.69.6667 > 217.113.205.58.1895: Flags [R], seq 789774894, win 0, length 0
07:18:20.473376 IP 61.143.178.244.1764 > 178.32.215.69.47861: Flags [.], ack 302901303, win 65535, length 0
07:18:20.473383 IP 178.255.74.187.1547 > 178.32.215.69.118: Flags [.], ack 2717487723, win 65535, length 0
07:18:20.473388 IP 203.196.130.4.1109 > 178.32.215.69.16109: Flags [.], ack 755672953, win 65535, length 0
07:18:20.473390 IP 179.106.152.12.1044 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473396 IP 178.32.215.69.6667 > 179.106.152.12.1044: Flags [R], seq 3415335731, win 0, length 0
07:18:20.473413 IP 213.248.46.28.1141 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473420 IP 178.32.215.69.6667 > 213.248.46.28.1141: Flags [R], seq 3509716502, win 0, length 0
07:18:20.473435 IP 190.2.43.2.1008 > 178.32.215.69.62: Flags [.], ack 1469576974, win 65535, length 0
07:18:20.473440 IP 217.144.201.160.1662 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473445 IP 178.32.215.69.6667 > 217.144.201.160.1662: Flags [R], seq 2357414169, win 0, length 0
07:18:20.473460 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473467 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.473499 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473507 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.473523 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473530 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.473545 IP 74.126.17.86.1578 > 178.32.215.69.28: Flags [.], ack 3157162563, win 65535, length 0
07:18:20.473549 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473554 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.473569 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473576 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.473589 IP 62.28.171.10.1880 > 178.32.215.69.6667: Flags [.], ack 574951772, win 65535, length 0
07:18:20.473597 IP 178.32.215.69.6667 > 62.28.171.10.1880: Flags [R], seq 574951772, win 0, length 0
07:18:20.473612 IP 203.210.16.223.1068 > 178.32.215.69.6667: Flags [.], ack 3143653147, win 65535, length 0
07:18:20.473619 IP 178.32.215.69.6667 > 203.210.16.223.1068: Flags [R], seq 3143653147, win 0, length 0
07:18:20.473633 IP 211.151.228.18.1362 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473640 IP 178.32.215.69.6667 > 211.151.228.18.1362: Flags [R], seq 1626857485, win 0, length 0
07:18:20.473654 IP 200.52.205.60.1853 > 178.32.215.69.32391: Flags [.], ack 1005817954, win 65535, length 0
07:18:20.473659 IP 181.143.234.161.1731 > 178.32.215.69.78: Flags [.], ack 2114772792, win 65535, length 0
07:18:20.473661 IP 82.138.233.9.1813 > 178.32.215.69.56811: Flags [.], ack 3871367940, win 65535, length 0
07:18:20.473664 IP 74.126.17.86.1578 > 178.32.215.69.34: Flags [.], ack 3157162563, win 65535, length 0
07:18:20.473666 IP 178.255.74.187.1547 > 178.32.215.69.63905: Flags [.], ack 336583432, win 65535, length 0
07:18:20.473668 IP 194.110.185.110.1985 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473673 IP 178.32.215.69.6667 > 194.110.185.110.1985: Flags [R], seq 1924267531, win 0, length 0
07:18:20.473688 IP 85.25.195.164.1096 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473695 IP 178.32.215.69.6667 > 85.25.195.164.1096: Flags [R], seq 1441634407, win 0, length 0
07:18:20.473709 IP 220.181.130.183.1413 > 178.32.215.69.25191: Flags [.], ack 3773248598, win 65535, length 0
07:18:20.473722 IP 85.120.23.162.1926 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473728 IP 178.32.215.69.6667 > 85.120.23.162.1926: Flags [R], seq 100301668, win 0, length 0
07:18:20.473759 IP 69.72.227.45.1708 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473772 IP 178.32.215.69.6667 > 69.72.227.45.1708: Flags [R], seq 3013062144, win 0, length 0
07:18:20.473787 IP 27.112.8.246.1721 > 178.32.215.69.86: Flags [.], ack 2156426336, win 65535, length 0
07:18:20.473792 IP 219.94.131.250.1589 > 178.32.215.69.13249: Flags [.], ack 235185782, win 65535, length 0
07:18:20.473794 IP 202.169.46.205.1814 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473799 IP 178.32.215.69.6667 > 202.169.46.205.1814: Flags [R], seq 3779812177, win 0, length 0
07:18:20.473814 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473821 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.473835 IP 219.240.39.80.1418 > 178.32.215.69.30121: Flags [.], ack 387858804, win 65535, length 0
07:18:20.473840 IP 212.116.138.210.1096 > 178.32.215.69.6667: Flags [.], ack 1185465857, win 65535, length 0
07:18:20.473845 IP 178.32.215.69.6667 > 212.116.138.210.1096: Flags [R], seq 1185465857, win 0, length 0
07:18:20.473860 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473867 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.473881 IP 66.148.121.243.1589 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473888 IP 178.32.215.69.6667 > 66.148.121.243.1589: Flags [R], seq 1949265522, win 0, length 0
07:18:20.473902 IP 202.198.129.156.1043 > 178.32.215.69.43553: Flags [.], ack 940501020, win 65535, length 0
07:18:20.473908 IP 182.163.204.137.1219 > 178.32.215.69.12: Flags [.], ack 3427209519, win 65535, length 0
07:18:20.473910 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473915 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.473930 IP 158.194.249.48.1101 > 178.32.215.69.6667: Flags [.], ack 4124903535, win 65535, length 0
07:18:20.473937 IP 178.32.215.69.6667 > 158.194.249.48.1101: Flags [R], seq 4124903535, win 0, length 0
07:18:20.473952 IP 211.115.111.16.1107 > 178.32.215.69.42615: Flags [.], ack 3865999897, win 65535, length 0
07:18:20.473956 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473961 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.473983 IP 177.54.11.246.1242 > 178.32.215.69.52143: Flags [.], ack 330000191, win 65535, length 0
07:18:20.473988 IP 211.144.73.154.1540 > 178.32.215.69.8597: Flags [.], ack 3008316221, win 65535, length 0
07:18:20.473990 IP 75.125.159.16.1484 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.473996 IP 178.32.215.69.6667 > 75.125.159.16.1484: Flags [R], seq 3451096335, win 0, length 0
07:18:20.474021 IP 77.247.177.33.1430 > 178.32.215.69.19433: Flags [.], ack 1194472311, win 65535, length 0
07:18:20.474027 IP 209.73.140.162.1626 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474033 IP 178.32.215.69.6667 > 209.73.140.162.1626: Flags [R], seq 1352366428, win 0, length 0
07:18:20.474049 IP 209.73.140.162.1626 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474057 IP 178.32.215.69.6667 > 209.73.140.162.1626: Flags [R], seq 1352366428, win 0, length 0
07:18:20.474071 IP 213.152.192.96.1304 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474079 IP 178.32.215.69.6667 > 213.152.192.96.1304: Flags [R], seq 864704531, win 0, length 0
07:18:20.474093 IP 95.159.65.11.2016 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474100 IP 178.32.215.69.6667 > 95.159.65.11.2016: Flags [R], seq 2553631015, win 0, length 0
07:18:20.474114 IP 60.28.26.108.1674 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474121 IP 178.32.215.69.6667 > 60.28.26.108.1674: Flags [R], seq 1681159209, win 0, length 0
07:18:20.474135 IP 66.251.253.150.1528 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474142 IP 178.32.215.69.6667 > 66.251.253.150.1528: Flags [R], seq 3830487083, win 0, length 0
07:18:20.474157 IP 195.62.128.4.1880 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.474164 IP 178.32.215.69.6667 > 195.62.128.4.1880: Flags [R], seq 1436199745, win 0, length 0
07:18:20.474178 IP 81.196.156.217.2000 > 178.32.215.69.12419: Flags [.], ack 2109042259, win 65535, length 0
